gene_collect,label
HNRNPA1P12,original
AL357172.1,original
LILRB1-AS1,original
Mrps26,original
Lipo2,original
Elp3,original
RAB1AP2,original
DPH1,original
Olfr457,original
GOLGA2P8,original
AL161910.1,original
MTND1P15,original
ZNF395,original
ORM1,original
NBEAP3,original
AC020658.4,original
AL035691.1,original
LINC01474,original
Rbbp7,original
2010309G21Rik,original
KNCN,original
Srcin1,original
RNU6-173P,original
GYG1P3,original
MARK2P9,original
MIER3,original
Gm21775,original
AGTIL,original
Gadd45gip1,original
Gm47003,original
TPM1,original
IGHV2@,original
FNBP1,original
Gm49067,original
TMEM62,original
DDX3P3,original
RNU6-1095P,original
Tctex1d4,original
AC015726.2,original
Olfr55,original
PCDHAC2,original
RN7SL15P,original
Ppa1,original
PLEKHB2,original
LINC02423,original
Ppm1d,original
Gm15638,original
SIGLEC23P,original
Adarb2,original
AC138646.1,original
PFN1,original
EIF4A1P3,original
Klhl23,original
Gm8633,original
IFNBR,original
Zfp873,original
Incenp,original
RPL34-DT,original
Oit1,original
DPPA3P2,original
MTND1P1,original
Gm19331,original
Gm26547,original
ZNF329,original
K12T,original
OR6L1P,original
ZNF885P,original
MRPS26,original
TP53TG3C,original
Rtn4r,original
RNU6ATAC19P,original
NDUFS5P4,original
Gm20403,original
FKHL6,original
Hadhb,original
RNU6-114P,original
TKC,original
ARFGAP1,original
Fgfr3,original
Gm13994,original
Zcchc17,original
Drc3,original
DCC,original
ADGRE4P,original
S1PR2,original
SPICE1,original
Gatad2b,original
Slc25a25,original
MDC1-AS1,original
RPS4XP19,original
Mrpl41,original
1700012J15Rik,original
TMT1A,original
ENPP5,original
Zfp354b,original
OSMR-DT,original
RNF112,original
AL033539.2,original
AC005154.3,original
OR8G4,original
RNU6-859P,original
P2rx3,original
Scyl3,original
CHRNA3,original
Ect2,original
Ppp3r2,original
TSSK1B,original
PHETA2,original
U2AF1,original
Gm21170,original
Gm12493,original
ZFY,original
Coch,original
Wdr55,original
AC074351.1,original
SNORD3B-2,original
Mark3,original
C10orf25,original
SNX18P20,original
AL096869.2,original
SLC6A13,original
Gan,original
TAS2R13,original
Actr8,original
HCAR1,original
Trabd2b,original
DGUOK,original
OLIG3,original
Slain1,original
Impdh1,original
Morc1,original
TRA-AGC15-1,original
TMEM167A,original
GANAB,original
MTND5P7,original
Cypt1,original
9130221H12Rik,original
GOLGA8G,original
Gm28809,original
Dbhos,original
GNRHR2P1,original
F10-AS1,original
OR4N4,original
2310003L06Rik,original
ERI3-IT1,original
Rnf170,original
RANP1,original
CBX3,original
Sult6b1,original
MARCKSL1P2,original
CLCP2,original
CLUHP10,original
RPL18P8,original
Hist2h2aa1,original
OR1AC1P,original
Zfp953,original
LINC00908,original
4930568G15Rik,original
Prss23,original
H1FNT,original
MAGEA11,original
Gm32050,original
Lpcat2,original
SSR3,original
ALPPL1,original
METTL11B,original
HSPA8P17,original
USH1F,original
OFC1,original
AC011478.1,original
AC018716.1,original
Sh3bp1,original
Anapc15-ps,original
Abhd3,original
AC093639.3,original
A330093E20Rik,original
AC010203.2,original
AL031676.1,original
TUBB2A,original
AL050344.1,original
DUSP5,original
ERVK9-5,original
Ercc4,original
Prkab1,original
NARS2,original
AL139819.1,original
UQCC2,original
2810442N19Rik,original
Gm31497,original
AC018558.6,original
Sema5b,original
RPL23AP1,original
CDADC1,original
Gm16243,original
VMGLOM,original
FGF11,original
Gm47716,original
Mep1b,original
HOXC-AS2,original
YPEL5P2,original
2700068H02Rik,original
Olfr259,original
Hsd17b11,original
AC087490.1,original
RPL18AP2,original
Atp6v1a,original
YBX2P1,original
AC011471.2,original
MAGEB5,original
Rab8b,original
4833413E03Rik,original
ACTG1P10,original
H1-8P1,original
LINC02939,original
AP000439.3,original
A730082K24Rik,original
ATP5MGP5,original
RNA5SP375,original
2700089I24Rik,original
H3P11,original
AC105450.1,original
RPS26P44,original
CT45A5,original
GTS,original
CCT7,original
VPS13D,original
AC073072.1,original
AL390800.1,original
USP17L20,original
Tmem235,original
C8orf63,original
FEM1B,original
MIR6843,original
REP15,original
Ndufaf8,original
SUB1P4,original
AC116667.1,original
IFT52,original
Gm15777,original
KRT18P46,original
AC244502.3,original
Tmem89,original
Fam102b,original
HCG8,original
RNF32-AS1,original
CFAP61,original
2900055J20Rik,original
4933424H11Rik,original
KLHL1,original
ACO1,original
Gm26938,original
Gm17619,original
AGAP1-IT1,original
H1FX,original
KRT34,original
Hmg20a,original
Rad23a,original
CYP4F36P,original
ZNF525,original
ZNF106,original
AC022535.1,original
HYAL2,original
CCNYL4,original
SERPINI2,original
TMLHE,original
MIR5787,original
RNA5SP142,original
MUC11,original
SPG23,original
AL773573.1,original
Gm7682,original
CNN2P3,original
Gm47841,original
OOEP,original
TBC1D22A,original
Sgo2a,original
FRG1JP,original
AL031658.1,original
HNRNPA1P11,original
TEAD5,original
FAM83C-AS1,original
SEMA4A,original
Tas2r115,original
RPEP6,original
Olfr945,original
NRBP1,original
Fgfr2,original
AC145124.1,original
ZNF469,original
Gm42722,original
LINC02839,original
Gm38979,original
GRM7-AS2,original
RAI5,original
Gm43525,original
TRE-CTC9-1,original
Sun1,original
TMEM40,original
Igkv12-47,original
AP001065.4,original
SEPTIN14P1,original
Serinc3,original
SPOCK2,original
Musk,original
VDAC1P2,original
FGF13,original
LINC02519,original
AC007953.1,original
Tcp10a,original
LINC02474,original
PRICKLE2-AS2,original
KLHL25P1,original
Gnb2,original
MTCYBP9,original
RN7SL453P,original
Gm28441,original
EYCL2,original
Map2k2,original
SMOX,original
MIR5190,original
RCL1,original
SPTB,original
Mrps16,original
BCAS1,original
RN7SKP238,original
Gm43020,original
Olfr1261,original
KRT8P24,original
POU2F1-DT,original
RNA5SP256,original
Gm43532,original
C12orf65,original
I830134H01Rik,original
Kcnh3,original
EFCAB3P1,original
TM4SF5,original
Olfr868,original
Trav2,original
DDX60L,original
PLPP2,original
Luc7l3,original
Trhde,original
BLZF1,original
Gm16118,original
RN7SL13P,original
ELK4,original
OR1K1,original
RN7SKP103,original
GCC2-AS1,original
NDUFAF5,original
CRTC1,original
NFIA-AS1,original
Rnf225,original
Gm13596,original
KCNJ5-AS1,original
Gm14798,original
RNA5SP209,original
Ccdc180,original
Hopx,original
PRRC1,original
FLII,original
Calr3,original
DGCR10,original
Prdm13,original
MSC,original
H3.Y,original
AP005329.2,original
OPCML-IT2,original
Vmn1r81,original
LINC01719,original
Gm27164,original
AP003501.1,original
Abca15,original
AL139348.1,original
MTHFD2P4,original
AC112219.1,original
Gm28431,original
Gm33472,original
PPIAP75,original
Ccdc136,original
Gm45829,original
SNHG27,original
Gm45356,original
Tmem147os,original
SLC7A2-IT1,original
9230116L04Rik,original
DIO2-AS1,original
AC067930.4,original
ELOVL3,original
DFNA23,original
DFNB51,original
ANKRD49P4,original
TRE-CTC6-1,original
AC067852.2,original
4930444M15Rik,original
Gm29386,original
ZNF433-AS1,original
Zc3h11a,original
RIMS2,original
RPL26P17,original
MIR134,original
Stub1,original
Zfp229,original
AL356218.2,original
Exd2,original
Vmn1r6,original
1700101O22Rik,original
AI314278,original
PHP,original
AL133166.1,original
EEF1A1P30,original
Zfp580,original
FIGN,original
POM121L7P,original
AL355095.1,original
Usp12,original
LINC02142,original
PUDPP3,original
PRKAR1AP1,original
Gypa,original
SNORD36B,original
ACTBP12,original
DKKL1P1,original
Dtnb,original
EFHC2,original
Pea15a,original
MGC1,original
Olfr804,original
NPT2,original
MSK9,original
Tgif2,original
Vmn2r92,original
RNU6-445P,original
Gm40649,original
FAM181B,original
CT027693.2,original
ZFP36L1,original
RPL21P64,original
YWHAQP4,original
Taar1,original
CCT6,original
RPS6KB2,original
Gm28308,original
Traj20,original
Apol7d,original
OVAAL,original
GLC3B,original
TRAPPC2,original
SNF2L3,original
AC008115.1,original
VCX,original
ZC3H14,original
Gm32914,original
MIR4739,original
AC023490.5,original
PLUT,original
NAT16,original
Fam227b,original
Gm44127,original
TRP-AGG3-1,original
IQSEC1,original
Sall2,original
AC007349.2,original
AC090192.2,original
AMMECR1,original
Fat3,original
Ncoa4,original
Ccdc42os,original
CATHL1L,original
Actr6,original
BMS1P21,original
SNORD113-8,original
Tmem79,original
RPRD1B,original
SDF2,original
Pnpo,original
U2surp,original
AC009159.3,original
FAM6A,original
AL445471.1,original
LINC02603,original
AC008736.1,original
TUBE1,original
Gm21913,original
BEND7P1,original
MSX2P1,original
SYT5,original
4933402N22Rik,original
Vmn1r226,original
RN7SL745P,original
MBL2,original
DEFA8P,original
AP003068.3,original
Ezh2,original
Pgbd1,original
Ilf3,original
Gm16302,original
RNU6-1103P,original
TBCB,original
Eral1,original
LINC01685,original
MIR4431,original
Klk4,original
PSORS5,original
ASF1B,original
KRTAP16-1,original
ULK2,original
ARF1P1,original
Prame,original
TFIP11,original
MRPS21P6,original
AC009065.1,original
ZNF821,original
Gm47946,original
Gm11361,original
SMYD5,original
OR5F1,original
Btg3,original
Npdc1,original
RHOXF1,original
PLEKHA8P1,original
Serpine3,original
CXCL9,original
Gm47510,original
AC084782.3,original
Coq10b,original
EML4-AS1,original
MED8-AS1,original
Kank2,original
AP001063.1,original
PIRC66,original
AC139491.1,original
ARNT2-DT,original
MIR6514,original
LINC01335,original
1700080G11Rik,original
Tcrg-V5,original
Ncbp2,original
Arnt2,original
FOXE2,original
SSXP5,original
Sun3,original
POM121L11P,original
PTP4A1P1,original
MMRN1,original
AL035401.1,original
Slc22a1,original
BMS1P11,original
C8orf66,original
AL022323.4,original
LINC02482,original
Gm34059,original
SEMA3B-AS1,original
4930465M20Rik,original
Scamp3,original
AC092611.1,original
RN7SL244P,original
ST11,original
SNORA71A,original
Galns,original
AC104633.1,original
GRP,original
Atp4a,original
HAUS1P1,original
HSPA5P1,original
Sos1,original
RPL27AP6,original
SETP1,original
CENPNP2,original
AC019080.6,original
AL078582.2,original
THOP2,original
AC123768.5,original
ALDOA,original
Atp13a3,original
MIR512-1,original
OR5D3,original
IGHVII-26-2,original
TMEM64,original
Gm11820,original
RNU6-1045P,original
SMG6,original
RNU6-1039P,original
VDAC2P3,original
TRMT1P1,original
AC002470.1,original
CERNA3,original
TAF7,original
ACTR1B,original
Gm13090,original
AC008945.1,original
Gm14102,original
Gm35507,original
Cacng1,original
AL353586.1,original
Sbno1,original
Gm44786,original
AGPAT2,original
Sybu,original
SNORD19,original
AC006027.1,original
SFTPA1,original
GAGE12D,original
NPMP7,original
RAP1BP1,original
1500009L16Rik,original
Cic,original
Gm30504,original
TBC1D26,original
C2orf72,original
Mmd2,original
Gm48453,original
AC152827.1,original
AL365226.2,original
AC061958.1,original
AL137026.1,original
PPP1R3A,original
Olfr711,original
Gm40477,original
LINC00505,original
SNORD32A,original
SNORD116-12,original
